Date,Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Ground,Fatalities (air),Aboard,Survivors,Continent
1970-04-28,1970,Qtr 2,April,28,Mozambique,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,8,11,3,Africa
1952-04-30,1952,Qtr 2,April,30,Japan,McDonnell Douglas,Douglas DC-3,0,9,9,0,Asia
1973-04-10,1973,Qtr 2,April,10,Gabon,Vickers,Vickers Vanguard 952G AXOP,0,108,145,37,Africa
2000-04-19,2000,Qtr 2,April,19,Angola,Antonov,Antonov AN 8TL,0,24,24,0,Africa
1946-04-30,1946,Qtr 2,April,30,Mexico,McDonnell Douglas,Douglas C 47A FZ559,0,12,12,0,North America
1960-04-14,1960,Qtr 2,April,14,Japan,McDonnell Douglas,Douglas DC-4,0,18,18,0,Asia
2024-04-23,2024,Qtr 2,April,23,United States,McDonnell Douglas,Douglas C-54D Skymaster N3054V,0,2,2,0,North America
1958-04-21,1958,Qtr 2,April,21,Latvia,McDonnell Douglas,Douglas DC-7,0,49,49,0,Europe
1997-04-23,1997,Qtr 2,April,23,Afghanistan,Antonov,Antonov An-26,0,36,36,0,Asia
1988-04-10,1988,Qtr 2,April,10,Afghanistan,Antonov,Antonov An-26,0,29,29,0,Asia
1993-04-27,1993,Qtr 2,April,27,Afghanistan,Antonov,Antonov An-32,0,76,76,0,Asia
2006-04-24,2006,Qtr 2,April,24,Afghanistan,Antonov,Antonov AN 32BZS,3,2,16,14,Asia
2013-04-29,2013,Qtr 2,April,29,Afghanistan,Boeing,Boeing 747,0,7,7,0,Asia
1973-04-18,1973,Qtr 2,April,18,Afghanistan,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,4,19,15,Asia
1994-04-26,1994,Qtr 2,April,26,Japan,Airbus,Airbus A300B4 622RB,0,264,271,7,Asia
1956-04-09,1956,Qtr 2,April,9,United States,Aero Commander,Aero Commander  520B5386N,0,6,6,0,North America
1976-04-05,1976,Qtr 2,April,5,United States,Boeing,Boeing 727,0,1,50,49,North America
1983-04-07,1983,Qtr 2,April,7,United States,Britten-Norman,Britten-Norman,0,2,3,1,North America
1964-04-17,1964,Qtr 2,April,17,United States,Cessna,Cessna 185N9984X,0,2,2,0,North America
1997-04-10,1997,Qtr 2,April,10,United States,Cessna,Cessna 208B Caravan IN408GV,0,5,5,0,North America
1982-04-11,1982,Qtr 2,April,11,United States,Hughes,Hughes 369DN11058,0,3,3,0,North America
1993-04-06,1993,Qtr 2,April,6,United States,McDonnell Douglas,McDonnell Douglas MD 11B,0,2,264,262,North America
1944-04-06,1944,Qtr 2,April,6,United States,Pilgrim,Pilgrim 100BNC742N,0,6,6,0,North America
1957-04-08,1957,Qtr 2,April,8,Algeria,McDonnell Douglas,Douglas DC-3,0,34,34,0,Africa
1967-04-11,1967,Qtr 2,April,11,Algeria,McDonnell Douglas,Douglas DC 47T,0,35,39,4,Africa
2018-04-11,2018,Qtr 2,April,11,Algeria,Ilyushin,Ilyushin 76 TD7T,0,257,257,0,Africa
1988-04-27,1988,Qtr 2,April,27,Angola,Antonov,Antonov AN 2614,0,29,29,0,Africa
2001-04-28,2001,Qtr 2,April,28,Argentina,Cessna,Cessna  208B Grand CaravanLV WSC,0,10,10,0,South America
1954-04-23,1954,Qtr 2,April,23,Argentina,McDonnell Douglas,Douglas DC-3,0,25,25,0,South America
1976-04-14,1976,Qtr 2,April,14,Argentina,Hawker Siddeley,Hawker Siddeley HS 748 2LV,0,34,34,0,South America
1985-04-11,1985,Qtr 2,April,11,Argentina,Hawker Siddeley,HS  125,0,7,7,0,South America
1921-04-06,1921,Qtr 2,April,6,Australia,Avro,Avro 504H3021,0,2,2,0,Oceania
1945-04-19,1945,Qtr 2,April,19,Australia,McDonnell Douglas,Douglas DC 339067,0,13,13,0,Oceania
1942-04-21,1942,Qtr 2,April,21,Australia,Lockheed,Lockheed 14 ElectraVH ADY,0,12,12,0,Oceania
2008-04-09,2008,Qtr 2,April,9,Australia,Swearingen,Swearingen SA227AC Metroliner IIIVH OZA,0,1,1,0,Oceania
1966-04-23,1966,Qtr 2,April,23,Azerbaijan,Ilyushin,Ilyushin Il-14,0,33,33,0,Asia
1997-04-15,1997,Qtr 2,April,15,Azerbaijan,Yakovlev,Yakovlev 404K 87504,0,6,6,0,Asia
1969-04-02,1969,Qtr 2,April,2,Bahamas,Curtiss,Curtiss C 46FN3914,0,2,2,0,North America
1974-04-22,1974,Qtr 2,April,22,Indonesia,Boeing,Boeing 707,0,107,107,0,Asia
1960-04-22,1960,Qtr 2,April,22,Belgium,McDonnell Douglas,Douglas C 54BOO,0,35,35,0,Europe
2008-04-28,2008,Qtr 2,April,28,Unknown,Mil,Mil Mi 8TUR,0,20,20,0,Unknown
1985-04-20,1985,Qtr 2,April,20,Bolivia,Convair,Convair CV 440CP,0,4,4,0,South America
1981-04-06,1981,Qtr 2,April,6,Bolivia,McDonnell Douglas,Douglas DC-3,0,7,7,0,South America
1974-04-04,1974,Qtr 2,April,4,Botswana,McDonnell Douglas,Douglas DC 4A2,0,78,84,6,Africa
